id,name,cafe_type,district,address,phone,age,capacity,image_url,reserve_url,detail_url,operation_period,operation_days,closed_days,feature_summary,open_saturday,open_sunday,parking_available,parking_info,lat,lng,source_url
kc_001,서울형 키즈카페 시립 1호점,일반형 키즈카페,동작구,서울특별시 동작구 노량진로 10 서울가족플라자 지하2층 (대방동),02-824-0614,4 ~ 10세 (연나이 기준) 2022년생 ~ 2016년생 (2026년도 기준),개인 33 명 단체 33 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2023/10/5/c3f8273f-83a9-446a-8987-1c7a0ba378ae.jpg,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ230901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ230901&q_fcltyStle=2001,,화~일,"월, 명절 및 공휴일, 근로자의 날",놀이돌봄서비스 운영 · 미끄럼방지 양말 필수 · 현장 계좌이체 결제,True,True,True,"- 주차비 (화~토) 최초 30분 무료, 이후 30분당 1000원 부과, 일요일 무료주차",37.51245,126.92731,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ230901&q_fcltyStle=2001
kc_002,서울형 키즈카페 시립 공예마을점,일반형 키즈카페,종로구,서울특별시 종로구 율곡로3길 4 서울공예박물관 어린이박물관 (교육동 2~3층),02-6450-7000,0 ~ 9세 (연나이 기준) 2026년생 ~ 2017년생 (2026년도 기준),개인 50 명 단체 45 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2026/2/4/249ebe66-6105-44ab-80fa-2b46b9ad6647.jpg,https://craftmuseum.seoul.go.kr/chimsm/exhibit/plan/view/178,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JN251201&q_fcltyStle=2001,,매주 화~일요일,"매주 월요일, 1월 1일, 그 밖에 서울공예박물관장이 지정한 날",회차별 예약 운영,True,True,,,37.57685953829751,126.98281542406504,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JN251201&q_fcltyStle=2001
kc_003,서울형 키즈카페 시립 뚝섬자벌레점,일반형 키즈카페,광진구,서울특별시 광진구 강변북로 2202 2층 꿈틀나루 (자양동),02-498-4445,0 ~ 6세 (연나이 기준) 2026년생 ~ 2020년생 (2026년도 기준),개인 43 명 단체 43 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2026/1/20/96e82cb2-aed9-4536-a7cd-78eca02971d1.jpg,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GJ240401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ240401&q_fcltyStle=2001,,화~일,"월요일, 법정공휴일, 대체휴무일, 근로자의 날",놀이돌봄서비스 운영 · 미끄럼방지 양말 필수 · 회차별 예약 운영,True,True,,,37.53016,127.06541,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ240401&q_fcltyStle=2001
kc_004,서울형 키즈카페 시립 목동점,일반형 키즈카페,양천구,서울특별시 양천구 안양천로 1131 지식산업센터 2층 (목동),02-2647-7507,3 ~ 12세 (연나이 기준) 2023년생 ~ 2014년생 (2026년도 기준),개인 24 명 단체 24 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2026/3/5/b4c417f8-e963-45f4-af0f-fc480da3c823.jpg,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=YC231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YC231201&q_fcltyStle=2001,,월~토,"일요일, 법정공휴일, 대체공휴일, 근로자의 날",놀이돌봄서비스 운영 · 미끄럼방지 양말 필수 · 사전예약 중심 운영,True,False,True,"◈ 주차안내 / - 30분 당 1,000원 (주차비 예시 - 31분 주차시 2,000원) / 일 최대 20,000원 / - 건물이용자 주차 할인 혜택 적용 불가능 / ※ 해당 건물의 주차시설은 민간 사업체가 운영중이므로 별도의 할인 혜택 적용이 불가능합니다.",37.54219410532292,126.88370466507241,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YC231201&q_fcltyStle=2001
kc_005,서울형 키즈카페 시립 보라매공원점,일반형 키즈카페,동작구,서울특별시 동작구 여의대방로20길 33 1층 (신대방동),02-831-7220,3 ~ 9세 (연나이 기준) 2023년생 ~ 2017년생 (2026년도 기준),개인 27 명 단체 27 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2025/9/24/cb7b445b-5b60-45c3-a88e-219c58fa06bc.jpg,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ250901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ250901&q_fcltyStle=2001,,화~일,"월요일, 명절 및 법정공휴일, 대체휴무일, 근로자의 날",놀이돌봄서비스 운영 · 현장 계좌이체 결제 · 대중교통 이용 권장,True,True,True,"★주차공간 협소하여, 가급적 대중교통 이용 바랍니다★",37.49487,126.91949,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ250901&q_fcltyStle=2001
kc_006,서울형 키즈카페 시립 서울상상나라점,일반형 키즈카페,광진구,서울특별시 광진구 능동로 216 2층,02-6450-9500,0 ~ 3세 (연나이 기준) 2026년생 ~ 2023년생 (2026년도 기준),개인 60 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2025/11/26/ec6b5af3-a3c1-4c34-8d00-44e52fb9cd34.png,https://www.seoulchildrensmuseum.org,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ251101&q_fcltyStle=2001,,화~일,"월요일, 1월 1일, 설/추석 연휴, 보수기간",입장권 구매 후 입장,True,True,,,37.550606356683076,127.07760105568619,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ251101&q_fcltyStle=2001
kc_007,서울형 키즈카페 시립 서울식물원점,일반형 키즈카페,강서구,서울특별시 강서구 마곡동로 161 4층(서울식물원 식물문화센터),02-2658-7772,4 ~ 9세 (연나이 기준) 2022년생 ~ 2017년생 (2026년도 기준),개인 22 명 단체 22 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2026/4/16/f493a7be-7cbd-4824-b833-23dcf4843b41.png,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GS260401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GS260401&q_fcltyStle=2001,,화~일,매주 월요일(월요일이 공휴일인 경우에는 그 공휴일 다음의 첫 번째 비공휴일에 휴원),놀이돌봄서비스 운영 · 미끄럼방지 양말 필수 · 현장 계좌이체 결제,True,True,,,37.56531,126.82842,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GS260401&q_fcltyStle=2001
kc_008,서울형 키즈카페 시립 아리수나라점,일반형 키즈카페,광진구,서울특별시 광진구 능동로 216 서울아리수본부 (능동),02-3146-5946,0 ~ 9세 (연나이 기준) 2026년생 ~ 2017년생 (2026년도 기준),개인 60 명 단체 60 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2026/1/29/5048495c-38ec-4aaa-afd0-1762d851b7f5.jpg,https://arisu.seoul.go.kr/home/sub?menukey=7534,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ260101&q_fcltyStle=2001,,화~일,"매주 월요일, 1월 1일, 설날 및 추석 연휴",놀이돌봄서비스 운영 · 회차별 예약 운영,True,True,,,37.55201,127.07877,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ260101&q_fcltyStle=2001
kc_009,서울형 키즈카페 시립 화곡점,일반형 키즈카페,강서구,서울특별시 강서구 화곡로31나길 35 1층 서울형 키즈카페 시립 화곡점,02-2606-0877,4 ~ 12세 (연나이 기준) 2022년생 ~ 2014년생 (2026년도 기준),개인 61 명 단체 61 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2025/7/2/7818adf4-678f-402f-973a-8036a034f9e4.jpg,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GS241101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GS241101&q_fcltyStle=2001,,월~토,"일요일, 근로자의 날, 공휴일",놀이돌봄서비스 운영 · 미끄럼방지 양말 필수 · 현장 계좌이체 결제,True,False,True,"★주차공간 협소하여, 가급적 대중교통 이용 바랍니다. / ★★ ★주차하실 경우에는 핸드폰 번호 기입 필수입니다★★★",37.54534,126.83855,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GS241101&q_fcltyStle=2001
kc_010,서울형키즈카페 시립 옴팡점,일반형 키즈카페,노원구,서울특별시 노원구 동일로174길 27 서울생활사박물관 옴팡,02-3399-2900,0 ~ 13세 (연나이 기준) 2026년생 ~ 2013년생 (2026년도 기준),개인 80 명 단체 70 명,https://umppa.seoul.go.kr/icare/upload/fcltyInfoManage/2024/10/16/65cd17e4-de25-4df4-80eb-46144d44f2e8.jpg,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S251118144705678859,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=NW240901&q_fcltyStle=2001,,화~일,"매주 월요일, 1월1일",현장 접수 병행 · 사전예약 중심 운영 · 보호자 동반 이용,True,True,,"★박물관 부설 주차장 이용시 별도요금 지불하셔야 합니다(기본 1,200원-최초 30분까지/초과 5분당 300원)",37.62018,127.07695,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=NW240901&q_fcltyStle=2001
