name,theme,keyword,district,recommended_age,fee,pdf_operating_days,source_pdf_page,notes
국립고궁박물관,시간여행자,전통문화,종로구,유아;초등,무료,월;화;수;목;금;토;일,12,
국립대한민국임시정부기념관,시간여행자,독립운동,서대문구,유아;초등,무료,화;수;목;금;토;일,12,
국립민속박물관 어린이박물관,시간여행자,전통문화,종로구,유아;초등,무료,월;화;수;목;금;토;일,12,
국립중앙박물관 어린이박물관,시간여행자,문화유산,용산구,유아;초등,무료,월;화;수;목;금;토;일,12,
서대문형무소역사관,시간여행자,독립운동,서대문구,초등,유료,화;수;목;금;토;일,12,
서울교육박물관,시간여행자,교육역사,종로구,유아;초등,무료,월;화;수;목;금;토;일,12,
서울기록원,시간여행자,아카이브,은평구,유아;초등,무료,화;수;목;금;토;일,12,
서울백제어린이박물관,시간여행자,백제문화,송파구,유아;초등,무료,화;수;목;금;토;일,12,
서울생활사박물관,시간여행자,생활역사,노원구,유아;초등,무료,화;수;목;금;토;일,12,
서울약령시 한의약박물관,시간여행자,한방문화,동대문구,유아;초등,유료,화;수;목;금;토;일,12,
서울역사박물관 어린이박물관,시간여행자,도시역사,종로구,유아;초등,무료,화;수;목;금;토;일,12,
용산역사박물관,시간여행자,지역역사,용산구,유아;초등,무료,화;수;목;금;토;일,12,
은평역사한옥박물관,시간여행자,전통건축,은평구,초등,유료,화;수;목;금;토;일,12,
전쟁기념관 어린이박물관,시간여행자,전쟁평화,용산구,유아;초등,무료,화;수;목;금;토;일,12,
청계천박물관,시간여행자,도시재생,성동구,유아;초등,무료,화;수;목;금;토;일,12,
한양도성박물관,시간여행자,문화유산,종로구,초등,무료,화;수;목;금;토;일,12,
허준박물관,시간여행자,한방문화,강서구,유아;초등,유료,화;수;목;금;토;일,12,
G밸리산업박물관,호기심박사,산업기술,구로구,초등,무료,화;수;목;금;토,13,요일 표기 공식 사이트 재검증 필요
국립기상박물관,호기심박사,기상과학,종로구,초등,무료,화;수;목;금;토;일,13,
국립어린이과학관,호기심박사,과학기술,종로구,유아;초등,유료,화;수;목;금;토;일,13,
